id,species,genotype,site,subsystem,tank,rack,qty,size
9580e0f1-456e-48a3-906c-145f39c41606,AC,AC2924,Mote Looe Key [In Situ],,AC-2924,R510,10,0
2e0cc546-1cbe-4dd5-8f81-f2795da7cc03,AC,AC2506,Mote Looe Key [In Situ],,AC-2506,R12,10,0
a74d24a7-8fa0-4486-a908-e304de37a7b0,AC,AC2609,Mote Looe Key [In Situ],,SWAP 2,R686,10,0
3c1295da-822e-48a1-bc0a-0752e2cbb557,AC,AC1,Mote Looe Key [In Situ],,SWAP 1,R488,10,0
e3f57f01-220e-4c00-aef5-17ae41ca616e,AC,AC70,Mote Looe Key [In Situ],,AC-70,R382,10,0
fbdbfad9-05a5-4dba-bbc1-2bb6d7732453,AC,AC2505,Mote Sand Key [In Situ],,Multi,R5,10,0
103d066c-24ff-4e77-b445-7b0d8bcbf09c,AC,AC41,Mote Key Largo [In Situ],,Blue24,R32,9,0
62470312-7bcd-4549-bdfe-0df954a20852,OF,OF7,Mote Looe Key [In Situ],,OF-7,R196,9,0
ca2abf72-fe2e-4d66-b526-0d33f90a4c18,PC,PC52,Mote Looe Key [In Situ],,PC-52,R467,9,0
8d917918-fce2-4ada-9f2b-0751ffe5c7e2,AC,AC51,Mote Sand Key [In Situ],,Multi,R12,9,0
03a05531-95ee-40cc-914d-7df19541ff1e,AC,AC0,Mote Sand Key [In Situ],,Multi-Recruit,R4,9,0
dc0099cd-3440-403f-ab88-2a341a117f0a,AC,AC0,Mote Sand Key [In Situ],,Multi,R6,9,0
1b76be21-e8ac-4caf-8209-43a032b31364,OF,OF943,Mote Key Largo [In Situ],,Blue96,R15,9,0
fb63e3cb-0e38-4b25-96b2-c2e9ae5a5c65,AC,AC6,Mote Key Largo [In Situ],,Blue24,R32,8,0
3694c596-97b1-4752-bad5-9620023e3f37,AC,AC2603,Mote Looe Key [In Situ],,AC-2603,R166,8,0
a15321b7-871e-433d-afa3-854b325d3f36,AC,AC2578,Mote Looe Key [In Situ],,AC-2578,R139,8,0
96365f98-78dc-489d-b35a-d320a99a1f24,AC,AC25,Mote Sand Key [In Situ],,Multi,R5,7,0
cd4d40bf-b71b-40c2-a66c-2ba6228437b9,AC,AC20,Mote Looe Key [In Situ],,X,R300,7,0
417abe49-c641-40cd-9d25-5cee59a73f0f,AP,AP20,Mote Looe Key [In Situ],,AP24,R555,6,0
c97a363e-bbb0-4bfa-b064-05561f2a7f2a,AC,AC2927,Mote Looe Key [In Situ],,AC-2927,R509,6,0
2de08014-d810-455d-8dcb-71b6255900be,AC,AC54,Mote Looe Key [In Situ],,AC-54,R325,6,0
