id,date,cluster_id,genotype_name,species,site,rack,qty,reason,comment
205e2f1f-f393-42a2-9059-460fe2620f6b,8/7/24 6:37,857844bb-9750-4ff8-a528-ec3e204d12cd,SS497,SIDEREA,Mote Summerland,R1779,0,Move In,
18c48800-9390-4b2a-a576-5a18350108ec,8/7/24 6:37,139fc842-0fac-4294-8359-df6fbc17b50b,PA86,ASTREOIDES,Mote Summerland,R1744,70,fragging,fragging
d2c38328-2493-4572-860d-a7248addc214,8/7/24 6:35,139fc842-0fac-4294-8359-df6fbc17b50b,PA86,ASTREOIDES,Mote Summerland,R1744,0,Move In,
b572593b-930c-467c-b06d-b80d51d36156,8/7/24 6:35,9224925f-1d78-4868-bb54-7b34fa122f5f,SI85,INTERSEPTA,Mote Summerland,R1327,11,fragging,fragging
47bcb9f8-94f1-40d9-97ac-e224a61d5f74,8/7/24 6:34,9224925f-1d78-4868-bb54-7b34fa122f5f,SI85,INTERSEPTA,Mote Summerland,R1327,0,Move In,
f1c8c6d6-bae6-40ec-b4e3-4f39fba52e8f,8/7/24 6:33,5453d0d5-3008-4324-8747-ff8e5499fb58,SS95,SIDEREA,Mote Summerland,R1439,21,fragging,fragging
c45a5d0d-157e-4d4d-8f1b-8dd823d071ae,8/7/24 6:33,deee8c1f-0154-44b4-a1c1-00bc3e522495,SS165,SIDEREA,Mote Summerland,R1439,17,fragging,fragging
be53f926-200b-4c47-87fd-6f18f8c81bdc,8/7/24 6:31,5453d0d5-3008-4324-8747-ff8e5499fb58,SS95,SIDEREA,Mote Summerland,R1439,0,Move In,
2eb55515-0e0a-4ee0-85ab-4f1e80fcda8f,8/7/24 6:31,26916f02-9aeb-4bb9-97c0-e283644eb353,SI32,INTERSEPTA,Mote Summerland,R749,52,fragging,fragging
4d3ef9e6-b43f-43bb-9081-e52203fdf7db,8/7/24 6:29,d3077ec7-9ce1-4029-b821-54a4de736cf1,OF977,OF,Mote Summerland,R703,-1,other,other
8c40251d-a03c-4aa1-942b-0f5bcfeaeee1,8/7/24 6:28,26916f02-9aeb-4bb9-97c0-e283644eb353,SI32,INTERSEPTA,Mote Summerland,R749,0,Move In,
8ea8dc93-42bc-47b0-8d0f-bd68d05b6a7b,8/7/24 6:27,0013df9d-38a1-4b02-99ad-37000251b7f1,SI77,INTERSEPTA,Mote Summerland,R1551,4,fragging,fragging
d39fe4c4-b51a-4926-b439-b8d8f22792c5,8/7/24 6:26,0013df9d-38a1-4b02-99ad-37000251b7f1,SI77,INTERSEPTA,Mote Summerland,R1551,0,Move In,
f884028c-b5df-4aa7-a391-d39a655859c9,8/7/24 6:26,19020a47-df0c-4416-99ac-f536426978a6,SS90,SIDEREA,Mote Summerland,R891,21,fragging,fragging
7140f350-2edb-4c89-950e-5dc1f3ebbc59,8/7/24 6:26,5ca9cb28-03e8-44e4-9947-a8e0a20f5b79,SS462,SIDEREA,Mote Summerland,R891,6,fragging,fragging
da0af2b5-3b03-439a-a738-a5c31f3ff95d,8/7/24 6:25,5ca9cb28-03e8-44e4-9947-a8e0a20f5b79,SS462,SIDEREA,Mote Summerland,R891,0,Move In,
e6d318c4-2eaa-4bac-a71a-1f5559ef7214,8/7/24 6:21,6e76276a-69fa-4798-af95-3f63040acde4,PA112,ASTREOIDES,Mote Summerland,R268,49,fragging,fragging
