Name,Location,Date,Latitude,Longitude,Deliverable,Genotype,Survived,Outplanted,,,,,
I.CARE outplant June, / I.CARE outplant June,7/5/24,,,,MC102,75,75,,,,,
I.CARE outplant June, / I.CARE outplant June,7/5/24,,,,PC49,120,120,,,,,
I.CARE outplant June, / I.CARE outplant June,7/5/24,,,,Pc49,0,0,,,,,
I.CARE outplant June, / I.CARE outplant June,7/5/24,,,,PC25,0,0,,,,,
I.CARE outplant June, / I.CARE outplant June,7/5/24,,,,OF950,5,5,,,,,
I.CARE outplant June, / I.CARE outplant June,7/5/24,,,,OA7,10,10,,,,,
I.CARE outplant June, / I.CARE outplant June,7/5/24,,,,MC122,0,0,,,,,
I.CARE outplant June, / I.CARE outplant June,7/5/24,,,,PS7,15,15,,,,,
I.CARE outplant June, / I.CARE outplant June,7/5/24,,,,OF1028,150,150,,,,,
I.CARE outplant June, / I.CARE outplant June,7/5/24,,,,PC31,40,40,,,,,
I.CARE outplant June, / I.CARE outplant June,7/5/24,,,,SS41,20,20,,,,,
I.CARE outplant June, / I.CARE outplant June,7/5/24,,,,OF1005,180,180,,,,,
I.CARE outplant June, / I.CARE outplant June,7/5/24,,,,OF1031,50,50,,,,,
I.CARE outplant June, / I.CARE outplant June,7/5/24,,,,PC43,50,50,,,,,
I.CARE outplant June, / I.CARE outplant June,7/5/24,,,,OF918,10,10,,,,,
I.CARE outplant June, / I.CARE outplant June,7/5/24,,,,SS39,10,10,,,,,
I.CARE outplant June, / I.CARE outplant June,7/5/24,,,,PF1028,0,0,,,,,
Outplant 2025-01-28, / Carysfort MIR Media Outplant,1/27/25,,,,OF979,10,10,,,,,
Outplant 2025-01-28, / Carysfort MIR Media Outplant,1/27/25,,,,OF1027,10,10,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P001,6/7/25,24.52187,-81.5248,BIL Year 1,CN18,10,10,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P001,6/7/25,24.52187,-81.5248,BIL Year 1,DL186,10,10,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P001,6/7/25,24.52187,-81.5248,BIL Year 1,MC1,10,10,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P001,6/7/25,24.52187,-81.5248,BIL Year 1,MC57,10,10,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P001,6/7/25,24.52187,-81.5248,BIL Year 1,OF977,10,10,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P001,6/7/25,24.52187,-81.5248,BIL Year 1,OF980,10,10,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P001,6/7/25,24.52187,-81.5248,BIL Year 1,OF983,10,10,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P001,6/7/25,24.52187,-81.5248,BIL Year 1,PS20,10,10,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P001,6/7/25,24.52187,-81.5248,BIL Year 1,OF988,10,10,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P001,6/7/25,24.52187,-81.5248,BIL Year 1,PC16,10,10,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P001,6/7/25,24.52187,-81.5248,BIL Year 1,AC3,20,20,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P001,6/7/25,24.52187,-81.5248,BIL Year 1,AC31,20,20,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P001,6/7/25,24.52187,-81.5248,BIL Year 1,AC34,20,20,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P001,6/7/25,24.52187,-81.5248,BIL Year 1,AC58,20,20,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P001,6/7/25,24.52187,-81.5248,BIL Year 1,AC62,20,20,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P001,6/7/25,24.52187,-81.5248,BIL Year 1,AC75,20,20,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P001,6/7/25,24.52187,-81.5248,BIL Year 1,AC80,20,20,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P001,6/7/25,24.52187,-81.5248,BIL Year 1,AC1287,20,20,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P001,6/7/25,24.52187,-81.5248,BIL Year 1,AC1962,20,20,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P001,6/7/25,24.52187,-81.5248,BIL Year 1,AC2627,20,20,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS315,6,6,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI179,6,6,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI189,6,6,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS459,6,6,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS480,6,6,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI14,7,7,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI16,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI49,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR321,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR333,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS447,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS460,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR338,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI222,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI224,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI225,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI242,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR38,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS278,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS322,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS325,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS327,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS328,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS329,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS333,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI192,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI150,6,6,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR178,6,6,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR219,6,6,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS281,6,6,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS615,6,6,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR707,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR708,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR709,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR710,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR711,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR712,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR713,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR714,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR715,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR716,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR717,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR718,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR719,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI165,6,6,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI169,6,6,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI70,6,6,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI141,6,6,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR298,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR304,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR324,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR327,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR330,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI226,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI187,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR220,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR228,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS467,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS470,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS505,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS642,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS643,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS644,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS645,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS646,1,1,,,,,
