id,species,genotype,site,subsystem,tank,rack,qty,size
77ae7fcc-47d3-472c-8de0-c2cd8db10183,MC,MC107,Mote Islamorada,,,R251,10,
dd040cdc-12be-4490-9123-8f58ad72d570,OF,OF980,Mote Islamorada,,,R179,10,
15ccd220-a244-46c3-b9e4-f994b366b990,PS,PS49,Mote Islamorada,,,R179,10,
3b6548b2-9110-4eb1-bb00-566f74bbf321,OF,OF61,Mote Islamorada,,,R167,10,
69cbb3a3-27a7-4d57-95c8-1ac861ac1530,DL,DL177,Mote Islamorada,,,R281,10,
9752566d-4c24-4f93-9d1c-ea35063a7ee4,OF,OF990,Mote Islamorada,,,R318,10,
037bab23-d83f-4df1-8f9f-7721e94f10c1,DL,DL180,Mote Islamorada,,,R219,10,
83f8569e-028a-45a2-bc05-12c90477bfab,OF,OF993,Mote Islamorada,,,R224,10,
c6dc14e2-b0e2-4979-a89b-bf0949e19b61,PS,PS20,Mote Islamorada,,,R3,10,
6e192d4b-182b-4055-8f41-6dd89e8c5174,DL,DL173,Mote Islamorada,,,R131,10,
5f0e0976-05a1-4369-8ab2-c04206cae729,OF,OF980,Mote Islamorada,,,R219,10,
281737d7-3e99-46b2-82e1-7beb315cb03f,OF,OF688,Mote Islamorada,,,R179,10,
cf180672-0ee4-4f3a-b9f7-f041b7a91f2e,DL,DL288,Mote Islamorada,,G10,R201,10,0.75
7fea7583-7ab0-41e5-924e-d439da40cdcc,DL,DL173,Mote Islamorada,,,R6,10,
0836c6d2-681a-4d4e-b254-4d4c491f50e8,PC,PC13,Mote Islamorada,,,R131,10,
76d9176b-2d76-4891-bce6-571baf51bab8,PS,PS8,Mote Islamorada,,,R103,10,
326377a6-7280-4844-ad71-6cadb72acaa6,OF,OF993,Mote Islamorada,,,R289,10,
e33f92e3-aa40-4a25-8717-863b4487be1a,OF,OF1103,Mote Islamorada,,G2,R111,10,
3199386c-1937-434d-9d54-7465b5eb6c76,CN,CN42,Mote Islamorada,,G3,R99,10,0.75
88d394c5-39d0-43d7-8341-83541f385993,SIDEREA,SS494,Mote Key Largo,,G1,R12,10,0.25
1ac3c1a3-e3d8-4929-9728-81ead70018d1,SIDEREA,SS53,Mote Key Largo,,G1,R107,10,0.75
5d7af045-75b9-4a5e-b291-94e1bbd86b40,SIDEREA,SS50,Mote Key Largo,,G1,R107,10,0.75
f716eea4-2d63-418e-aa26-86fac1b25144,OF,OF824,Mote Key Largo,,G20,R144,10,0.25
568c6eae-ea3c-4e4e-b763-c312d841f229,MC,MC114,Mote Islamorada,,G13,R132,10,0.75
b6ab4762-6f3c-4bc5-a7ca-b90f6d92220f,OF,OF955,Mote Islamorada,,G12,R13,10,0.25
00ad5354-d786-4b23-8889-1ae94c5fffc8,CN,CN15,Mote Summerland,All Summerland,E5,R859,9,0
ca48b533-4f13-43bd-974b-8f85002dea76,MC,MC203,Mote Summerland,All Summerland,F6,R928,9,0.75
17daa76c-d8fb-48dd-bed2-9eab8d91058a,OF,OF995,Mote Summerland,All Summerland,F6,R741,9,0.5
faaae453-7a76-4c09-9859-91022ec05bbe,INTERSEPTA,SI6,Mote Summerland,All Summerland,F7,R133,9,1
496c9314-26ea-43c2-b9ed-4170bcab0e10,FRANKSI,OK1,Mote Summerland,All Summerland,A2,R1584,9,0.25
824ed3e4-87df-475f-9707-9228ef47cbad,CN,CN11,Mote Summerland,All Summerland,G6,R1057,9,1
5696a33a-dd78-473e-a526-acf60aad7dee,SIDEREA,SS497,Mote Summerland,All Summerland,E2,R289,9,0.25
